CLPID,Name,Year,Month,WifiSessions,WifiMinutes
CLP16,SOUTH SIDE LIBRARY,2018,3,828,110540
CLP16,SOUTH SIDE LIBRARY,2018,4,795,100382
CLP17,SQUIRREL HILL LIBRARY,2016,1,3595,617331
CLP17,SQUIRREL HILL LIBRARY,2016,2,3648,579971
CLP17,SQUIRREL HILL LIBRARY,2016,3,3861,617719
CLP17,SQUIRREL HILL LIBRARY,2016,4,3881,615485
CLP17,SQUIRREL HILL LIBRARY,2016,5,3743,581254
CLP17,SQUIRREL HILL LIBRARY,2016,6,3770,583543
CLP17,SQUIRREL HILL LIBRARY,2016,7,3518,539427
CLP17,SQUIRREL HILL LIBRARY,2016,8,4217,635866
CLP17,SQUIRREL HILL LIBRARY,2016,9,3541,534401
CLP17,SQUIRREL HILL LIBRARY,2016,10,3674,564901
CLP17,SQUIRREL HILL LIBRARY,2016,11,3677,557751
CLP17,SQUIRREL HILL LIBRARY,2016,12,2977,471080
CLP17,SQUIRREL HILL LIBRARY,2017,1,3749,576312
CLP17,SQUIRREL HILL LIBRARY,2017,2,3864,593659
CLP17,SQUIRREL HILL LIBRARY,2017,3,4537,485057
CLP17,SQUIRREL HILL LIBRARY,2017,4,5070,573289
CLP17,SQUIRREL HILL LIBRARY,2017,5,4805,536659
CLP17,SQUIRREL HILL LIBRARY,2017,6,4808,529202
CLP17,SQUIRREL HILL LIBRARY,2017,7,4887,552647
CLP17,SQUIRREL HILL LIBRARY,2017,8,5611,625576
CLP17,SQUIRREL HILL LIBRARY,2017,9,4864,552932
CLP17,SQUIRREL HILL LIBRARY,2017,10,5241,605923
CLP17,SQUIRREL HILL LIBRARY,2017,11,5052,591275
CLP17,SQUIRREL HILL LIBRARY,2017,12,4639,557105
CLP17,SQUIRREL HILL LIBRARY,2018,1,4574,628896
CLP17,SQUIRREL HILL LIBRARY,2018,2,5022,696437
CLP17,SQUIRREL HILL LIBRARY,2018,3,5427,752002
CLP17,SQUIRREL HILL LIBRARY,2018,4,4980,680938
CLP18,WEST END LIBRARY,2016,1,284,50327
CLP18,WEST END LIBRARY,2016,2,321,51463
CLP18,WEST END LIBRARY,2016,3,298,46441
CLP18,WEST END LIBRARY,2016,4,308,46038
CLP18,WEST END LIBRARY,2016,5,342,51965
CLP18,WEST END LIBRARY,2016,6,355,55247
CLP18,WEST END LIBRARY,2016,7,394,64448
CLP18,WEST END LIBRARY,2016,8,417,66805
CLP18,WEST END LIBRARY,2016,9,407,69931
CLP18,WEST END LIBRARY,2016,10,354,60605
CLP18,WEST END LIBRARY,2016,11,302,53890
CLP18,WEST END LIBRARY,2016,12,217,38516
CLP18,WEST END LIBRARY,2017,1,251,45518
CLP18,WEST END LIBRARY,2017,2,275,52716
CLP18,WEST END LIBRARY,2017,3,275,40298
CLP18,WEST END LIBRARY,2017,4,362,45762
CLP18,WEST END LIBRARY,2017,5,326,35807
CLP18,WEST END LIBRARY,2017,6,335,37675
CLP18,WEST END LIBRARY,2017,7,425,50266
CLP18,WEST END LIBRARY,2017,8,482,57133
CLP18,WEST END LIBRARY,2017,9,428,47565
CLP18,WEST END LIBRARY,2017,10,469,52920
CLP18,WEST END LIBRARY,2017,11,369,52227
CLP18,WEST END LIBRARY,2017,12,231,25066
CLP18,WEST END LIBRARY,2018,1,268,27475
CLP18,WEST END LIBRARY,2018,2,309,30081
CLP18,WEST END LIBRARY,2018,3,314,38550
CLP18,WEST END LIBRARY,2018,4,256,27402
CLP19,WOODS RUN LIBRARY,2016,1,493,69064
CLP19,WOODS RUN LIBRARY,2016,2,541,67096
CLP19,WOODS RUN LIBRARY,2016,3,596,79505
CLP19,WOODS RUN LIBRARY,2016,4,568,73314
CLP19,WOODS RUN LIBRARY,2016,5,816,104385
CLP19,WOODS RUN LIBRARY,2016,6,854,119649
CLP19,WOODS RUN LIBRARY,2016,7,910,121013
CLP19,WOODS RUN LIBRARY,2016,8,936,115524
CLP19,WOODS RUN LIBRARY,2016,9,787,113217
CLP19,WOODS RUN LIBRARY,2016,10,690,101788
CLP19,WOODS RUN LIBRARY,2016,11,766,119559
CLP19,WOODS RUN LIBRARY,2016,12,538,78865
CLP19,WOODS RUN LIBRARY,2017,1,876,120842
CLP19,WOODS RUN LIBRARY,2017,2,784,130784
CLP19,WOODS RUN LIBRARY,2017,3,736,117691
CLP19,WOODS RUN LIBRARY,2017,4,848,120800
CLP19,WOODS RUN LIBRARY,2017,5,1027,128535
CLP19,WOODS RUN LIBRARY,2017,6,1138,154001
CLP19,WOODS RUN LIBRARY,2017,7,1160,196741
CLP19,WOODS RUN LIBRARY,2017,8,1254,199824
CLP19,WOODS RUN LIBRARY,2017,9,993,158533
CLP19,WOODS RUN LIBRARY,2017,10,1136,168207
CLP19,WOODS RUN LIBRARY,2017,11,813,104126
CLP19,WOODS RUN LIBRARY,2017,12,630,79279
CLP19,WOODS RUN LIBRARY,2018,1,716,99671
CLP19,WOODS RUN LIBRARY,2018,2,778,108100
CLP19,WOODS RUN LIBRARY,2018,3,816,104073
CLP19,WOODS RUN LIBRARY,2018,4,903,107865
